event_ticker,horizon,threshold,S_adjusted
KXCPIYOY-25AUG,3d,2.4,0.99
KXCPIYOY-25AUG,3d,2.5,0.99
KXCPIYOY-25AUG,3d,2.6,0.975
KXCPIYOY-25AUG,3d,2.7,0.92
KXCPIYOY-25AUG,3d,2.8,0.625
KXCPIYOY-25AUG,3d,2.9,0.185
KXCPIYOY-25AUG,3d,3.0,0.035
KXCPIYOY-25AUG,3d,3.1,0.01
KXCPIYOY-25AUG,7d,2.4,0.99
KXCPIYOY-25AUG,7d,2.5,0.975
KXCPIYOY-25AUG,7d,2.6,0.96
KXCPIYOY-25AUG,7d,2.7,0.92
KXCPIYOY-25AUG,7d,2.8,0.635
KXCPIYOY-25AUG,7d,2.9,0.23
KXCPIYOY-25AUG,7d,3.0,0.06
KXCPIYOY-25AUG,7d,3.1,0.015
KXCPIYOY-25AUG,final,2.4,0.995
KXCPIYOY-25AUG,final,2.5,0.99
KXCPIYOY-25AUG,final,2.6,0.98
KXCPIYOY-25AUG,final,2.7,0.97
KXCPIYOY-25AUG,final,2.8,0.685
KXCPIYOY-25AUG,final,2.9,0.225
KXCPIYOY-25AUG,final,3.0,0.035
KXCPIYOY-25AUG,final,3.1,0.015
KXCPIYOY-25DEC,14d,2.4,0.975
KXCPIYOY-25DEC,14d,2.5,0.9
KXCPIYOY-25DEC,14d,2.6,0.485
KXCPIYOY-25DEC,14d,2.7,0.34
KXCPIYOY-25DEC,14d,2.8,0.155
KXCPIYOY-25DEC,14d,2.9,0.09
KXCPIYOY-25DEC,14d,3.0,0.035
KXCPIYOY-25DEC,14d,3.1,0.015
KXCPIYOY-25DEC,1d,2.4,0.96
KXCPIYOY-25DEC,1d,2.5,0.915
KXCPIYOY-25DEC,1d,2.6,0.635
KXCPIYOY-25DEC,1d,2.7,0.345
KXCPIYOY-25DEC,1d,2.8,0.135
KXCPIYOY-25DEC,1d,2.9,0.055
KXCPIYOY-25DEC,1d,3.0,0.03
KXCPIYOY-25DEC,1d,3.1,0.01
KXCPIYOY-25DEC,21d,2.4,0.975
KXCPIYOY-25DEC,21d,2.5,0.925
KXCPIYOY-25DEC,21d,2.6,0.555
KXCPIYOY-25DEC,21d,2.7,0.38
KXCPIYOY-25DEC,21d,2.8,0.205
KXCPIYOY-25DEC,21d,2.9,0.105
KXCPIYOY-25DEC,21d,3.0,0.05
KXCPIYOY-25DEC,21d,3.1,0.025
KXCPIYOY-25DEC,3d,2.4,0.95
KXCPIYOY-25DEC,3d,2.5,0.905
KXCPIYOY-25DEC,3d,2.6,0.655
KXCPIYOY-25DEC,3d,2.7,0.335
KXCPIYOY-25DEC,3d,2.8,0.13
KXCPIYOY-25DEC,3d,2.9,0.075
KXCPIYOY-25DEC,3d,3.0,0.02
KXCPIYOY-25DEC,3d,3.1,0.015
KXCPIYOY-25DEC,7d,2.4,0.96
KXCPIYOY-25DEC,7d,2.5,0.855
KXCPIYOY-25DEC,7d,2.6,0.575
KXCPIYOY-25DEC,7d,2.7,0.325
KXCPIYOY-25DEC,7d,2.8,0.135
KXCPIYOY-25DEC,7d,2.9,0.075
KXCPIYOY-25DEC,7d,3.0,0.035
KXCPIYOY-25DEC,7d,3.1,0.01
KXCPIYOY-25DEC,final,2.4,0.96
KXCPIYOY-25DEC,final,2.5,0.915
KXCPIYOY-25DEC,final,2.6,0.635
KXCPIYOY-25DEC,final,2.7,0.345
KXCPIYOY-25DEC,final,2.8,0.135
KXCPIYOY-25DEC,final,2.9,0.055
KXCPIYOY-25DEC,final,3.0,0.03
KXCPIYOY-25DEC,final,3.1,0.01
KXCPIYOY-25FEB,14d,2.4,0.9824999999999999
KXCPIYOY-25FEB,14d,2.5,0.9824999999999999
KXCPIYOY-25FEB,14d,2.6,0.955
KXCPIYOY-25FEB,14d,2.7,0.935
KXCPIYOY-25FEB,14d,2.8,0.745
KXCPIYOY-25FEB,14d,2.9,0.405
KXCPIYOY-25FEB,14d,3.0,0.155
KXCPIYOY-25FEB,14d,3.1,0.065
KXCPIYOY-25FEB,1d,2.4,0.99
KXCPIYOY-25FEB,1d,2.5,0.97
KXCPIYOY-25FEB,1d,2.6,0.97
KXCPIYOY-25FEB,1d,2.7,0.955
KXCPIYOY-25FEB,1d,2.8,0.755
KXCPIYOY-25FEB,1d,2.9,0.285
KXCPIYOY-25FEB,1d,3.0,0.055
KXCPIYOY-25FEB,1d,3.1,0.015
KXCPIYOY-25FEB,21d,2.4,0.9775
KXCPIYOY-25FEB,21d,2.5,0.9775
KXCPIYOY-25FEB,21d,2.6,0.97
KXCPIYOY-25FEB,21d,2.7,0.945
KXCPIYOY-25FEB,21d,2.8,0.8
KXCPIYOY-25FEB,21d,2.9,0.455
KXCPIYOY-25FEB,21d,3.0,0.195
KXCPIYOY-25FEB,21d,3.1,0.07
KXCPIYOY-25FEB,3d,2.4,0.99
KXCPIYOY-25FEB,3d,2.5,0.97
KXCPIYOY-25FEB,3d,2.6,0.965
KXCPIYOY-25FEB,3d,2.7,0.96
KXCPIYOY-25FEB,3d,2.8,0.75
KXCPIYOY-25FEB,3d,2.9,0.34
KXCPIYOY-25FEB,3d,3.0,0.05
KXCPIYOY-25FEB,3d,3.1,0.02
KXCPIYOY-25FEB,7d,2.4,0.99
KXCPIYOY-25FEB,7d,2.5,0.97
KXCPIYOY-25FEB,7d,2.6,0.965
KXCPIYOY-25FEB,7d,2.7,0.94
KXCPIYOY-25FEB,7d,2.8,0.695
KXCPIYOY-25FEB,7d,2.9,0.315
KXCPIYOY-25FEB,7d,3.0,0.075
KXCPIYOY-25FEB,7d,3.1,0.035
KXCPIYOY-25FEB,final,2.4,0.99
KXCPIYOY-25FEB,final,2.5,0.97
KXCPIYOY-25FEB,final,2.6,0.97
KXCPIYOY-25FEB,final,2.7,0.955
KXCPIYOY-25FEB,final,2.8,0.755
KXCPIYOY-25FEB,final,2.9,0.285
KXCPIYOY-25FEB,final,3.0,0.055
KXCPIYOY-25FEB,final,3.1,0.015
KXCPIYOY-25JAN,14d,1.8,0.995
KXCPIYOY-25JAN,14d,1.9,0.995
KXCPIYOY-25JAN,14d,2.0,0.995
KXCPIYOY-25JAN,14d,2.1,0.985
KXCPIYOY-25JAN,14d,2.2,0.985
KXCPIYOY-25JAN,14d,2.3,0.975
KXCPIYOY-25JAN,14d,2.4,0.975
KXCPIYOY-25JAN,14d,2.5,0.97
KXCPIYOY-25JAN,14d,2.6,0.965
KXCPIYOY-25JAN,14d,2.7,0.915
KXCPIYOY-25JAN,14d,2.8,0.795
KXCPIYOY-25JAN,14d,2.9,0.47
KXCPIYOY-25JAN,14d,3.0,0.165
KXCPIYOY-25JAN,14d,3.1,0.055
KXCPIYOY-25JAN,1d,1.8,0.995
KXCPIYOY-25JAN,1d,1.9,0.995
KXCPIYOY-25JAN,1d,2.0,0.995
KXCPIYOY-25JAN,1d,2.1,0.99
KXCPIYOY-25JAN,1d,2.2,0.985
KXCPIYOY-25JAN,1d,2.3,0.98
KXCPIYOY-25JAN,1d,2.4,0.98
KXCPIYOY-25JAN,1d,2.5,0.975
KXCPIYOY-25JAN,1d,2.6,0.965
KXCPIYOY-25JAN,1d,2.7,0.965
KXCPIYOY-25JAN,1d,2.8,0.755
KXCPIYOY-25JAN,1d,2.9,0.49
KXCPIYOY-25JAN,1d,3.0,0.15
KXCPIYOY-25JAN,1d,3.1,0.045
KXCPIYOY-25JAN,21d,1.8,0.975
KXCPIYOY-25JAN,21d,1.9,0.975
KXCPIYOY-25JAN,21d,2.0,0.975
KXCPIYOY-25JAN,21d,2.1,0.975
KXCPIYOY-25JAN,21d,2.2,0.975
KXCPIYOY-25JAN,21d,2.3,0.975
KXCPIYOY-25JAN,21d,2.4,0.975
KXCPIYOY-25JAN,21d,2.5,0.965
KXCPIYOY-25JAN,21d,2.6,0.955
KXCPIYOY-25JAN,21d,2.7,0.9
KXCPIYOY-25JAN,21d,2.8,0.79
KXCPIYOY-25JAN,21d,2.9,0.43
KXCPIYOY-25JAN,21d,3.0,0.075
KXCPIYOY-25JAN,21d,3.1,0.055
KXCPIYOY-25JAN,3d,1.8,0.99
KXCPIYOY-25JAN,3d,1.9,0.99
KXCPIYOY-25JAN,3d,2.0,0.9875
KXCPIYOY-25JAN,3d,2.1,0.9875
KXCPIYOY-25JAN,3d,2.2,0.985
KXCPIYOY-25JAN,3d,2.3,0.9775
KXCPIYOY-25JAN,3d,2.4,0.9775
KXCPIYOY-25JAN,3d,2.5,0.9724999999999999
KXCPIYOY-25JAN,3d,2.6,0.9724999999999999
KXCPIYOY-25JAN,3d,2.7,0.955
KXCPIYOY-25JAN,3d,2.8,0.82
KXCPIYOY-25JAN,3d,2.9,0.64
KXCPIYOY-25JAN,3d,3.0,0.24
KXCPIYOY-25JAN,3d,3.1,0.085
KXCPIYOY-25JAN,7d,1.8,0.99
KXCPIYOY-25JAN,7d,1.9,0.99
KXCPIYOY-25JAN,7d,2.0,0.9875
KXCPIYOY-25JAN,7d,2.1,0.9875
KXCPIYOY-25JAN,7d,2.2,0.985
KXCPIYOY-25JAN,7d,2.3,0.975
KXCPIYOY-25JAN,7d,2.4,0.975
KXCPIYOY-25JAN,7d,2.5,0.97
KXCPIYOY-25JAN,7d,2.6,0.97
KXCPIYOY-25JAN,7d,2.7,0.965
KXCPIYOY-25JAN,7d,2.8,0.795
KXCPIYOY-25JAN,7d,2.9,0.495
KXCPIYOY-25JAN,7d,3.0,0.19
KXCPIYOY-25JAN,7d,3.1,0.08
KXCPIYOY-25JAN,final,1.8,0.995
KXCPIYOY-25JAN,final,1.9,0.995
KXCPIYOY-25JAN,final,2.0,0.995
KXCPIYOY-25JAN,final,2.1,0.99
KXCPIYOY-25JAN,final,2.2,0.985
KXCPIYOY-25JAN,final,2.3,0.98
KXCPIYOY-25JAN,final,2.4,0.98
KXCPIYOY-25JAN,final,2.5,0.975
KXCPIYOY-25JAN,final,2.6,0.965
KXCPIYOY-25JAN,final,2.7,0.965
KXCPIYOY-25JAN,final,2.8,0.755
KXCPIYOY-25JAN,final,2.9,0.49
KXCPIYOY-25JAN,final,3.0,0.15
KXCPIYOY-25JAN,final,3.1,0.045
KXCPIYOY-25JUL,14d,2.4,0.965
KXCPIYOY-25JUL,14d,2.5,0.955
KXCPIYOY-25JUL,14d,2.6,0.89
KXCPIYOY-25JUL,14d,2.7,0.61
KXCPIYOY-25JUL,14d,2.8,0.24
KXCPIYOY-25JUL,14d,2.9,0.095
KXCPIYOY-25JUL,14d,3.0,0.03
KXCPIYOY-25JUL,14d,3.1,0.03
KXCPIYOY-25JUL,1d,2.4,0.99
KXCPIYOY-25JUL,1d,2.5,0.99
KXCPIYOY-25JUL,1d,2.6,0.935
KXCPIYOY-25JUL,1d,2.7,0.665
KXCPIYOY-25JUL,1d,2.8,0.205
KXCPIYOY-25JUL,1d,2.9,0.025
KXCPIYOY-25JUL,1d,3.0,0.01
KXCPIYOY-25JUL,1d,3.1,0.01
KXCPIYOY-25JUL,21d,2.4,0.97
KXCPIYOY-25JUL,21d,2.5,0.955
KXCPIYOY-25JUL,21d,2.6,0.9
KXCPIYOY-25JUL,21d,2.7,0.645
KXCPIYOY-25JUL,21d,2.8,0.255
KXCPIYOY-25JUL,21d,2.9,0.105
KXCPIYOY-25JUL,21d,3.0,0.055
KXCPIYOY-25JUL,21d,3.1,0.025
KXCPIYOY-25JUL,3d,2.4,0.99
KXCPIYOY-25JUL,3d,2.5,0.98
KXCPIYOY-25JUL,3d,2.6,0.91
KXCPIYOY-25JUL,3d,2.7,0.57
KXCPIYOY-25JUL,3d,2.8,0.165
KXCPIYOY-25JUL,3d,2.9,0.035
KXCPIYOY-25JUL,3d,3.0,0.01
KXCPIYOY-25JUL,3d,3.1,0.01
KXCPIYOY-25JUL,7d,2.4,0.98
KXCPIYOY-25JUL,7d,2.5,0.965
KXCPIYOY-25JUL,7d,2.6,0.89
KXCPIYOY-25JUL,7d,2.7,0.67
KXCPIYOY-25JUL,7d,2.8,0.21
KXCPIYOY-25JUL,7d,2.9,0.05
KXCPIYOY-25JUL,7d,3.0,0.02
KXCPIYOY-25JUL,7d,3.1,0.015
KXCPIYOY-25JUL,final,2.4,0.99
KXCPIYOY-25JUL,final,2.5,0.99
KXCPIYOY-25JUL,final,2.6,0.935
KXCPIYOY-25JUL,final,2.7,0.665
KXCPIYOY-25JUL,final,2.8,0.205
KXCPIYOY-25JUL,final,2.9,0.025
KXCPIYOY-25JUL,final,3.0,0.01
KXCPIYOY-25JUL,final,3.1,0.01
KXCPIYOY-25JUN,14d,2.4,0.885
KXCPIYOY-25JUN,14d,2.5,0.715
KXCPIYOY-25JUN,14d,2.6,0.37
KXCPIYOY-25JUN,14d,2.7,0.15
KXCPIYOY-25JUN,14d,2.8,0.05
KXCPIYOY-25JUN,14d,2.9,0.0325
KXCPIYOY-25JUN,14d,3.0,0.0325
KXCPIYOY-25JUN,14d,3.1,0.0275
KXCPIYOY-25JUN,14d,3.2,0.0275
KXCPIYOY-25JUN,14d,3.3,0.0175
KXCPIYOY-25JUN,14d,3.4,0.0175
KXCPIYOY-25JUN,1d,2.4,0.91
KXCPIYOY-25JUN,1d,2.5,0.71
KXCPIYOY-25JUN,1d,2.6,0.34
KXCPIYOY-25JUN,1d,2.7,0.075
KXCPIYOY-25JUN,1d,2.8,0.035
KXCPIYOY-25JUN,1d,2.9,0.02
KXCPIYOY-25JUN,1d,3.0,0.015
KXCPIYOY-25JUN,1d,3.1,0.005
KXCPIYOY-25JUN,1d,3.2,0.005
KXCPIYOY-25JUN,1d,3.3,0.005
KXCPIYOY-25JUN,1d,3.4,0.005
KXCPIYOY-25JUN,21d,2.4,0.875
KXCPIYOY-25JUN,21d,2.5,0.71
KXCPIYOY-25JUN,21d,2.6,0.31
KXCPIYOY-25JUN,21d,2.7,0.13
KXCPIYOY-25JUN,21d,2.8,0.1
KXCPIYOY-25JUN,21d,2.9,0.035
KXCPIYOY-25JUN,21d,3.0,0.02
KXCPIYOY-25JUN,21d,3.1,0.0175
KXCPIYOY-25JUN,21d,3.2,0.0175
KXCPIYOY-25JUN,21d,3.3,0.015
KXCPIYOY-25JUN,21d,3.4,0.015
KXCPIYOY-25JUN,3d,2.4,0.92
KXCPIYOY-25JUN,3d,2.5,0.75
KXCPIYOY-25JUN,3d,2.6,0.375
KXCPIYOY-25JUN,3d,2.7,0.085
KXCPIYOY-25JUN,3d,2.8,0.045
KXCPIYOY-25JUN,3d,2.9,0.015
KXCPIYOY-25JUN,3d,3.0,0.015
KXCPIYOY-25JUN,3d,3.1,0.01
KXCPIYOY-25JUN,3d,3.2,0.01
KXCPIYOY-25JUN,3d,3.3,0.01
KXCPIYOY-25JUN,3d,3.4,0.01
KXCPIYOY-25JUN,7d,2.4,0.915
KXCPIYOY-25JUN,7d,2.5,0.695
KXCPIYOY-25JUN,7d,2.6,0.29
KXCPIYOY-25JUN,7d,2.7,0.08
KXCPIYOY-25JUN,7d,2.8,0.05
KXCPIYOY-25JUN,7d,2.9,0.03
KXCPIYOY-25JUN,7d,3.0,0.03
KXCPIYOY-25JUN,7d,3.1,0.01375
KXCPIYOY-25JUN,7d,3.2,0.01375
KXCPIYOY-25JUN,7d,3.3,0.01375
KXCPIYOY-25JUN,7d,3.4,0.01375
KXCPIYOY-25JUN,final,2.4,0.91
KXCPIYOY-25JUN,final,2.5,0.71
KXCPIYOY-25JUN,final,2.6,0.34
KXCPIYOY-25JUN,final,2.7,0.075
KXCPIYOY-25JUN,final,2.8,0.035
KXCPIYOY-25JUN,final,2.9,0.02
KXCPIYOY-25JUN,final,3.0,0.015
KXCPIYOY-25JUN,final,3.1,0.005
KXCPIYOY-25JUN,final,3.2,0.005
KXCPIYOY-25JUN,final,3.3,0.005
KXCPIYOY-25JUN,final,3.4,0.005
KXCPIYOY-25MAR,14d,2.3,0.88
KXCPIYOY-25MAR,14d,2.4,0.73
KXCPIYOY-25MAR,14d,2.5,0.42
KXCPIYOY-25MAR,14d,2.6,0.205
KXCPIYOY-25MAR,14d,2.7,0.075
KXCPIYOY-25MAR,14d,2.8,0.025
KXCPIYOY-25MAR,14d,2.9,0.015
KXCPIYOY-25MAR,14d,3.0,0.0125
KXCPIYOY-25MAR,14d,3.1,0.0125
KXCPIYOY-25MAR,1d,2.3,0.96
KXCPIYOY-25MAR,1d,2.4,0.83
KXCPIYOY-25MAR,1d,2.5,0.42
KXCPIYOY-25MAR,1d,2.6,0.11
KXCPIYOY-25MAR,1d,2.7,0.035
KXCPIYOY-25MAR,1d,2.8,0.035
KXCPIYOY-25MAR,1d,2.9,0.015
KXCPIYOY-25MAR,1d,3.0,0.01
KXCPIYOY-25MAR,1d,3.1,0.005
KXCPIYOY-25MAR,21d,2.3,0.9
KXCPIYOY-25MAR,21d,2.4,0.665
KXCPIYOY-25MAR,21d,2.5,0.41
KXCPIYOY-25MAR,21d,2.6,0.215
KXCPIYOY-25MAR,21d,2.7,0.1
KXCPIYOY-25MAR,21d,2.8,0.04
KXCPIYOY-25MAR,21d,2.9,0.03
KXCPIYOY-25MAR,21d,3.0,0.02
KXCPIYOY-25MAR,21d,3.1,0.02
KXCPIYOY-25MAR,3d,2.3,0.965
KXCPIYOY-25MAR,3d,2.4,0.835
KXCPIYOY-25MAR,3d,2.5,0.415
KXCPIYOY-25MAR,3d,2.6,0.13
KXCPIYOY-25MAR,3d,2.7,0.030000000000000002
KXCPIYOY-25MAR,3d,2.8,0.030000000000000002
KXCPIYOY-25MAR,3d,2.9,0.02
KXCPIYOY-25MAR,3d,3.0,0.01
KXCPIYOY-25MAR,3d,3.1,0.005
KXCPIYOY-25MAR,7d,2.3,0.955
KXCPIYOY-25MAR,7d,2.4,0.775
KXCPIYOY-25MAR,7d,2.5,0.405
KXCPIYOY-25MAR,7d,2.6,0.11
KXCPIYOY-25MAR,7d,2.7,0.035
KXCPIYOY-25MAR,7d,2.8,0.025
KXCPIYOY-25MAR,7d,2.9,0.015
KXCPIYOY-25MAR,7d,3.0,0.005
KXCPIYOY-25MAR,7d,3.1,0.005
KXCPIYOY-25MAR,final,2.3,0.96
KXCPIYOY-25MAR,final,2.4,0.83
KXCPIYOY-25MAR,final,2.5,0.42
KXCPIYOY-25MAR,final,2.6,0.11
KXCPIYOY-25MAR,final,2.7,0.035
KXCPIYOY-25MAR,final,2.8,0.035
KXCPIYOY-25MAR,final,2.9,0.015
KXCPIYOY-25MAR,final,3.0,0.01
KXCPIYOY-25MAR,final,3.1,0.005
KXCPIYOY-25MAY,14d,2.1,0.965
KXCPIYOY-25MAY,14d,2.2,0.935
KXCPIYOY-25MAY,14d,2.3,0.805
KXCPIYOY-25MAY,14d,2.4,0.545
KXCPIYOY-25MAY,14d,2.5,0.235
KXCPIYOY-25MAY,14d,2.6,0.095
KXCPIYOY-25MAY,14d,2.7,0.06
KXCPIYOY-25MAY,14d,2.8,0.035
KXCPIYOY-25MAY,14d,2.9,0.02
KXCPIYOY-25MAY,14d,3.0,0.02
KXCPIYOY-25MAY,14d,3.1,0.02
KXCPIYOY-25MAY,1d,2.1,0.98
KXCPIYOY-25MAY,1d,2.2,0.955
KXCPIYOY-25MAY,1d,2.3,0.795
KXCPIYOY-25MAY,1d,2.4,0.345
KXCPIYOY-25MAY,1d,2.5,0.065
KXCPIYOY-25MAY,1d,2.6,0.015
KXCPIYOY-25MAY,1d,2.7,0.01
KXCPIYOY-25MAY,1d,2.8,0.01
KXCPIYOY-25MAY,1d,2.9,0.008333333333333333
KXCPIYOY-25MAY,1d,3.0,0.008333333333333333
KXCPIYOY-25MAY,1d,3.1,0.008333333333333333
KXCPIYOY-25MAY,21d,2.1,0.965
KXCPIYOY-25MAY,21d,2.2,0.945
KXCPIYOY-25MAY,21d,2.3,0.855
KXCPIYOY-25MAY,21d,2.4,0.655
KXCPIYOY-25MAY,21d,2.5,0.3
KXCPIYOY-25MAY,21d,2.6,0.105
KXCPIYOY-25MAY,21d,2.7,0.045
KXCPIYOY-25MAY,21d,2.8,0.04
KXCPIYOY-25MAY,21d,2.9,0.035
KXCPIYOY-25MAY,21d,3.0,0.025
KXCPIYOY-25MAY,21d,3.1,0.02
KXCPIYOY-25MAY,3d,2.1,0.97
KXCPIYOY-25MAY,3d,2.2,0.91
KXCPIYOY-25MAY,3d,2.3,0.755
KXCPIYOY-25MAY,3d,2.4,0.42
KXCPIYOY-25MAY,3d,2.5,0.13
KXCPIYOY-25MAY,3d,2.6,0.03
KXCPIYOY-25MAY,3d,2.7,0.03
KXCPIYOY-25MAY,3d,2.8,0.01
KXCPIYOY-25MAY,3d,2.9,0.006666666666666667
KXCPIYOY-25MAY,3d,3.0,0.006666666666666667
KXCPIYOY-25MAY,3d,3.1,0.006666666666666667
KXCPIYOY-25MAY,7d,2.1,0.965
KXCPIYOY-25MAY,7d,2.2,0.935
KXCPIYOY-25MAY,7d,2.3,0.795
KXCPIYOY-25MAY,7d,2.4,0.495
KXCPIYOY-25MAY,7d,2.5,0.19
KXCPIYOY-25MAY,7d,2.6,0.055
KXCPIYOY-25MAY,7d,2.7,0.025
KXCPIYOY-25MAY,7d,2.8,0.015
KXCPIYOY-25MAY,7d,2.9,0.01
KXCPIYOY-25MAY,7d,3.0,0.005
KXCPIYOY-25MAY,7d,3.1,0.005
KXCPIYOY-25MAY,final,2.1,0.98
KXCPIYOY-25MAY,final,2.2,0.955
KXCPIYOY-25MAY,final,2.3,0.795
KXCPIYOY-25MAY,final,2.4,0.345
KXCPIYOY-25MAY,final,2.5,0.065
KXCPIYOY-25MAY,final,2.6,0.015
KXCPIYOY-25MAY,final,2.7,0.01
KXCPIYOY-25MAY,final,2.8,0.01
KXCPIYOY-25MAY,final,2.9,0.008333333333333333
KXCPIYOY-25MAY,final,3.0,0.008333333333333333
KXCPIYOY-25MAY,final,3.1,0.008333333333333333
KXCPIYOY-25NOV,14d,2.4,0.995
KXCPIYOY-25NOV,14d,2.5,0.99
KXCPIYOY-25NOV,14d,2.6,0.99
KXCPIYOY-25NOV,14d,2.7,0.985
KXCPIYOY-25NOV,14d,2.8,0.955
KXCPIYOY-25NOV,14d,2.9,0.835
KXCPIYOY-25NOV,14d,3.0,0.475
KXCPIYOY-25NOV,14d,3.1,0.11
KXCPIYOY-25NOV,1d,2.4,0.995
KXCPIYOY-25NOV,1d,2.5,0.995
KXCPIYOY-25NOV,1d,2.6,0.99
KXCPIYOY-25NOV,1d,2.7,0.99
KXCPIYOY-25NOV,1d,2.8,0.96
KXCPIYOY-25NOV,1d,2.9,0.765
KXCPIYOY-25NOV,1d,3.0,0.365
KXCPIYOY-25NOV,1d,3.1,0.055
KXCPIYOY-25NOV,21d,2.4,0.995
KXCPIYOY-25NOV,21d,2.5,0.995
KXCPIYOY-25NOV,21d,2.6,0.99
KXCPIYOY-25NOV,21d,2.7,0.985
KXCPIYOY-25NOV,21d,2.8,0.975
KXCPIYOY-25NOV,21d,2.9,0.845
KXCPIYOY-25NOV,21d,3.0,0.495
KXCPIYOY-25NOV,21d,3.1,0.145
KXCPIYOY-25NOV,3d,2.4,0.99
KXCPIYOY-25NOV,3d,2.5,0.9766666666666666
KXCPIYOY-25NOV,3d,2.6,0.9766666666666666
KXCPIYOY-25NOV,3d,2.7,0.9766666666666666
KXCPIYOY-25NOV,3d,2.8,0.97
KXCPIYOY-25NOV,3d,2.9,0.8
KXCPIYOY-25NOV,3d,3.0,0.36
KXCPIYOY-25NOV,3d,3.1,0.05
KXCPIYOY-25NOV,7d,2.4,0.995
KXCPIYOY-25NOV,7d,2.5,0.995
KXCPIYOY-25NOV,7d,2.6,0.99
KXCPIYOY-25NOV,7d,2.7,0.99
KXCPIYOY-25NOV,7d,2.8,0.945
KXCPIYOY-25NOV,7d,2.9,0.72
KXCPIYOY-25NOV,7d,3.0,0.345
KXCPIYOY-25NOV,7d,3.1,0.045
KXCPIYOY-25NOV,final,2.4,0.995
KXCPIYOY-25NOV,final,2.5,0.995
KXCPIYOY-25NOV,final,2.6,0.99
KXCPIYOY-25NOV,final,2.7,0.99
KXCPIYOY-25NOV,final,2.8,0.96
KXCPIYOY-25NOV,final,2.9,0.765
KXCPIYOY-25NOV,final,3.0,0.365
KXCPIYOY-25NOV,final,3.1,0.055
KXCPIYOY-25OCT,14d,2.4,0.99
KXCPIYOY-25OCT,14d,2.5,0.99
KXCPIYOY-25OCT,14d,2.6,0.98
KXCPIYOY-25OCT,14d,2.7,0.975
KXCPIYOY-25OCT,14d,2.8,0.935
KXCPIYOY-25OCT,14d,2.9,0.87
KXCPIYOY-25OCT,14d,3.0,0.58
KXCPIYOY-25OCT,14d,3.1,0.31
KXCPIYOY-25OCT,1d,2.4,0.99
KXCPIYOY-25OCT,1d,2.5,0.98
KXCPIYOY-25OCT,1d,2.6,0.98
KXCPIYOY-25OCT,1d,2.7,0.975
KXCPIYOY-25OCT,1d,2.8,0.97
KXCPIYOY-25OCT,1d,2.9,0.865
KXCPIYOY-25OCT,1d,3.0,0.525
KXCPIYOY-25OCT,1d,3.1,0.275
KXCPIYOY-25OCT,21d,2.4,0.975
KXCPIYOY-25OCT,21d,2.5,0.975
KXCPIYOY-25OCT,21d,2.6,0.975
KXCPIYOY-25OCT,21d,2.7,0.97
KXCPIYOY-25OCT,21d,2.8,0.945
KXCPIYOY-25OCT,21d,2.9,0.875
KXCPIYOY-25OCT,21d,3.0,0.535
KXCPIYOY-25OCT,21d,3.1,0.185
KXCPIYOY-25OCT,3d,2.4,0.99
KXCPIYOY-25OCT,3d,2.5,0.98
KXCPIYOY-25OCT,3d,2.6,0.98
KXCPIYOY-25OCT,3d,2.7,0.975
KXCPIYOY-25OCT,3d,2.8,0.97
KXCPIYOY-25OCT,3d,2.9,0.885
KXCPIYOY-25OCT,3d,3.0,0.505
KXCPIYOY-25OCT,3d,3.1,0.315
KXCPIYOY-25OCT,7d,2.4,0.99
KXCPIYOY-25OCT,7d,2.5,0.99
KXCPIYOY-25OCT,7d,2.6,0.985
KXCPIYOY-25OCT,7d,2.7,0.975
KXCPIYOY-25OCT,7d,2.8,0.97
KXCPIYOY-25OCT,7d,2.9,0.895
KXCPIYOY-25OCT,7d,3.0,0.51
KXCPIYOY-25OCT,7d,3.1,0.295
KXCPIYOY-25OCT,final,2.4,0.99
KXCPIYOY-25OCT,final,2.5,0.98
KXCPIYOY-25OCT,final,2.6,0.98
KXCPIYOY-25OCT,final,2.7,0.975
KXCPIYOY-25OCT,final,2.8,0.97
KXCPIYOY-25OCT,final,2.9,0.865
KXCPIYOY-25OCT,final,3.0,0.525
KXCPIYOY-25OCT,final,3.1,0.275
KXCPIYOY-25SEP,14d,2.4,0.9924999999999999
KXCPIYOY-25SEP,14d,2.5,0.9924999999999999
KXCPIYOY-25SEP,14d,2.6,0.985
KXCPIYOY-25SEP,14d,2.7,0.975
KXCPIYOY-25SEP,14d,2.8,0.95
KXCPIYOY-25SEP,14d,2.9,0.89
KXCPIYOY-25SEP,14d,3.0,0.56
KXCPIYOY-25SEP,14d,3.1,0.18
KXCPIYOY-25SEP,1d,2.4,0.99
KXCPIYOY-25SEP,1d,2.5,0.9875
KXCPIYOY-25SEP,1d,2.6,0.9875
KXCPIYOY-25SEP,1d,2.7,0.975
KXCPIYOY-25SEP,1d,2.8,0.965
KXCPIYOY-25SEP,1d,2.9,0.87
KXCPIYOY-25SEP,1d,3.0,0.55
KXCPIYOY-25SEP,1d,3.1,0.18
KXCPIYOY-25SEP,21d,2.4,0.995
KXCPIYOY-25SEP,21d,2.5,0.985
KXCPIYOY-25SEP,21d,2.6,0.975
KXCPIYOY-25SEP,21d,2.7,0.97
KXCPIYOY-25SEP,21d,2.8,0.955
KXCPIYOY-25SEP,21d,2.9,0.925
KXCPIYOY-25SEP,21d,3.0,0.655
